epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.801,1.59852,1.7127,1.01851,0.32115,0.24921,0.2247,0.12711,1.43747,1.17324,0.94596,0.00333127,0.00333127,0.00333127
2,578.781,1.54584,1.30346,0.96911,0.35255,0.26385,0.24406,0.13994,1.42683,1.1551,0.9353,0.00664261,0.00664261,0.00664261
3,774.105,1.56856,1.29119,0.97003,0.3587,0.26813,0.24905,0.14142,1.45875,1.14108,0.94294,0.00993195,0.00993195,0.00993195
4,959.068,1.57108,1.26525,0.96891,0.37229,0.27452,0.26199,0.15047,1.42696,1.13336,0.93649,0.009901,0.009901,0.009901
5,1140.34,1.54091,1.22748,0.96264,0.36282,0.29107,0.26864,0.15638,1.39612,1.09252,0.93362,0.009868,0.009868,0.009868
6,1372.97,1.51145,1.18958,0.95303,0.39208,0.29275,0.28641,0.16585,1.39041,1.06384,0.92764,0.009835,0.009835,0.009835
7,1740.09,1.49133,1.15877,0.9496,0.40152,0.30129,0.29079,0.16952,1.37384,1.05914,0.92553,0.009802,0.009802,0.009802
8,1921.91,1.4764,1.13892,0.94522,0.41187,0.3043,0.30236,0.17544,1.35923,1.03777,0.9222,0.009769,0.009769,0.009769
9,2103.66,1.46064,1.11911,0.94136,0.42207,0.30723,0.30564,0.17721,1.35443,1.02919,0.92009,0.009736,0.009736,0.009736
10,2284.57,1.45392,1.10866,0.93911,0.40334,0.32408,0.31584,0.18164,1.35476,1.01758,0.92014,0.009703,0.009703,0.009703
